,K=1,K=2,K=3,K=4,K=5,K=6,K=7,K=8,K=9,K=10,K=11,K=12,K=13,K=14,K=15,K=16
1,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162
2,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162
3,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162
4,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,602
5,162,162,162,162,162,162,162,162,162,162,162,162,162,162,602,602
6,162,162,162,162,162,162,162,162,162,162,162,162,162,602,602,1055
7,162,162,162,162,162,162,162,162,162,162,162,162,602,602,602,NA
8,162,162,162,162,162,162,162,162,162,162,162,602,602,602,1055,NA
9,162,162,162,162,162,162,162,162,162,162,602,602,602,602,1055,NA
10,162,162,162,162,162,162,162,162,162,602,602,602,602,1055,NA,NA
11,162,162,162,162,162,162,162,162,602,602,602,602,602,1055,NA,NA
12,162,162,162,162,162,162,162,602,602,602,602,602,1055,1055,NA,NA
13,162,162,162,162,162,162,602,602,602,602,602,602,1055,1887,NA,NA
14,162,162,162,162,162,602,602,602,602,602,602,1055,1055,1887,NA,NA
15,162,162,162,162,602,602,602,602,602,602,602,1055,1055,2092,NA,NA
16,162,162,162,602,602,602,602,602,602,602,1055,1055,1887,NA,NA,NA
17,162,162,602,602,602,602,602,602,602,602,1055,1055,1887,NA,NA,NA
18,162,602,602,602,602,602,602,602,602,1055,1055,1055,1887,NA,NA,NA
19,602,602,602,602,602,602,602,602,602,1055,1055,1887,2092,NA,NA,NA
20,602,602,602,602,602,602,602,602,1055,1055,1055,1887,2092,NA,NA,NA
21,602,602,602,602,602,602,602,602,1055,1055,1055,1887,NA,NA,NA,NA
22,602,602,602,602,602,602,602,1055,1055,1055,1887,1887,NA,NA,NA,NA
23,602,602,602,602,602,602,602,1055,1055,1055,1887,2092,NA,NA,NA,NA
24,602,602,602,602,602,602,1055,1055,1055,1055,1887,2092,NA,NA,NA,NA
25,602,602,602,602,602,602,1055,1055,1055,1887,1887,2092,NA,NA,NA,NA
26,602,602,602,602,602,1055,1055,1055,1055,1887,1887,NA,NA,NA,NA,NA
27,602,602,602,602,602,1055,1055,1055,1055,1887,2092,NA,NA,NA,NA,NA
28,602,602,602,602,1055,1055,1055,1055,1887,1887,2092,NA,NA,NA,NA,NA
29,602,602,602,602,1055,1055,1055,1055,1887,1887,2092,NA,NA,NA,NA,NA
30,602,602,602,1055,1055,1055,1055,1055,1887,1887,2092,NA,NA,NA,NA,NA
31,602,602,602,1055,1055,1055,1055,1887,1887,2092,2815,NA,NA,NA,NA,NA
32,602,602,1055,1055,1055,1055,1055,1887,1887,2092,2815,NA,NA,NA,NA,NA
33,602,602,1055,1055,1055,1055,1055,1887,1887,2092,3618,NA,NA,NA,NA,NA
34,602,1055,1055,1055,1055,1055,1887,1887,1887,2092,NA,NA,NA,NA,NA,NA
35,602,1055,1055,1055,1055,1055,1887,1887,2092,2092,NA,NA,NA,NA,NA,NA
36,1055,1055,1055,1055,1055,1055,1887,1887,2092,2815,NA,NA,NA,NA,NA,NA
37,1055,1055,1055,1055,1055,1887,1887,1887,2092,2815,NA,NA,NA,NA,NA,NA
38,1055,1055,1055,1055,1055,1887,1887,1887,2092,2815,NA,NA,NA,NA,NA,NA
39,1055,1055,1055,1055,1055,1887,1887,2092,2092,3618,NA,NA,NA,NA,NA,NA
40,1055,1055,1055,1055,1887,1887,1887,2092,2092,3618,NA,NA,NA,NA,NA,NA
41,1055,1055,1055,1055,1887,1887,1887,2092,2815,4565,NA,NA,NA,NA,NA,NA
42,1055,1055,1055,1055,1887,1887,1887,2092,2815,NA,NA,NA,NA,NA,NA,NA
43,1055,1055,1055,1887,1887,1887,2092,2092,2815,NA,NA,NA,NA,NA,NA,NA
44,1055,1055,1055,1887,1887,1887,2092,2092,2815,NA,NA,NA,NA,NA,NA,NA
45,1055,1055,1055,1887,1887,1887,2092,2092,3618,NA,NA,NA,NA,NA,NA,NA
46,1055,1055,1887,1887,1887,1887,2092,2815,3618,NA,NA,NA,NA,NA,NA,NA
47,1055,1055,1887,1887,1887,2092,2092,2815,3618,NA,NA,NA,NA,NA,NA,NA
48,1055,1055,1887,1887,1887,2092,2092,2815,4565,NA,NA,NA,NA,NA,NA,NA
49,1055,1887,1887,1887,1887,2092,2092,2815,4565,NA,NA,NA,NA,NA,NA,NA
50,1055,1887,1887,1887,1887,2092,2092,2815,5476,NA,NA,NA,NA,NA,NA,NA
51,1055,1887,1887,1887,2092,2092,2815,3618,NA,NA,NA,NA,NA,NA,NA,NA
52,1887,1887,1887,1887,2092,2092,2815,3618,NA,NA,NA,NA,NA,NA,NA,NA
53,1887,1887,1887,1887,2092,2092,2815,3618,NA,NA,NA,NA,NA,NA,NA,NA
54,1887,1887,1887,1887,2092,2092,2815,3618,NA,NA,NA,NA,NA,NA,NA,NA
55,1887,1887,1887,2092,2092,2092,2815,4565,NA,NA,NA,NA,NA,NA,NA,NA
56,1887,1887,1887,2092,2092,2815,2815,4565,NA,NA,NA,NA,NA,NA,NA,NA
57,1887,1887,1887,2092,2092,2815,2815,4565,NA,NA,NA,NA,NA,NA,NA,NA
58,1887,1887,1887,2092,2092,2815,3618,5476,NA,NA,NA,NA,NA,NA,NA,NA
59,1887,1887,2092,2092,2092,2815,3618,5476,NA,NA,NA,NA,NA,NA,NA,NA
60,1887,1887,2092,2092,2092,2815,3618,5482,NA,NA,NA,NA,NA,NA,NA,NA
61,1887,1887,2092,2092,2815,2815,3618,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,1887,1887,2092,2092,2815,2815,3618,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,1887,2092,2092,2092,2815,2815,3618,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,1887,2092,2092,2092,2815,3618,4565,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,1887,2092,2092,2092,2815,3618,4565,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,1887,2092,2092,2815,2815,3618,4565,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,2092,2092,2092,2815,2815,3618,4565,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,2092,2092,2092,2815,2815,3618,4565,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,2092,2092,2092,2815,2815,3618,5476,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,2092,2092,2092,2815,3618,3618,5476,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,2092,2092,2815,2815,3618,4565,5476,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,2092,2092,2815,2815,3618,4565,5476,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,2092,2092,2815,2815,3618,4565,5482,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,2092,2092,2815,2815,3618,4565,5482,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,2092,2092,2815,2815,3618,4565,5482,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,2092,2815,2815,3618,3618,4565,5622,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,2092,2815,2815,3618,3618,5476,5622,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,2092,2815,2815,3618,4565,5476,6531,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,2092,2815,2815,3618,4565,5476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80,2092,2815,2815,3618,4565,5476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,2815,2815,2815,3618,4565,5476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82,2815,2815,3618,3618,4565,5482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83,2815,2815,3618,3618,4565,5482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,2815,2815,3618,3618,4565,5482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,2815,2815,3618,4565,5476,5482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86,2815,2815,3618,4565,5476,5622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87,2815,2815,3618,4565,5476,5622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88,2815,3618,3618,4565,5476,5622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
89,2815,3618,3618,4565,5476,6531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
90,2815,3618,3618,4565,5476,6531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
91,2815,3618,3618,4565,5482,6726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
92,2815,3618,4565,4565,5482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
93,2815,3618,4565,5476,5482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94,3618,3618,4565,5476,5482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95,3618,3618,4565,5476,5482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,3618,3618,4565,5476,5622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
97,3618,3618,4565,5476,5622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
98,3618,3618,4565,5476,5622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
99,3618,4565,4565,5476,5622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,3618,4565,4565,5482,6531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101,3618,4565,5476,5482,6531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
102,3618,4565,5476,5482,6531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
103,3618,4565,5476,5482,6726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
104,3618,4565,5476,5482,6726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
105,3618,4565,5476,5482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106,4565,4565,5476,5622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107,4565,4565,5476,5622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
108,4565,4565,5476,5622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
109,4565,5476,5482,5622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
110,4565,5476,5482,5622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
111,4565,5476,5482,6531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
112,4565,5476,5482,6531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
113,4565,5476,5482,6531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
114,4565,5476,5482,6531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
115,4565,5476,5482,6726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
116,4565,5476,5622,6726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
117,5476,5476,5622,6726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
118,5476,5482,5622,8766,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
119,5476,5482,5622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,5476,5482,5622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
121,5476,5482,5622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
122,5476,5482,6531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
123,5476,5482,6531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
124,5476,5482,6531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
125,5476,5482,6531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
126,5476,5622,6531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
127,5482,5622,6726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
128,5482,5622,6726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
129,5482,5622,6726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
130,5482,5622,6726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
131,5482,5622,8766,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
132,5482,5622,8766,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
133,5482,6531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
134,5482,6531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
135,5482,6531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
136,5622,6531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
137,5622,6531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
138,5622,6531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
139,5622,6726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
140,5622,6726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
141,5622,6726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
142,5622,6726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
143,5622,6726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
144,6531,8766,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
145,6531,8766,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
146,6531,8766,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
147,6531,10845,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
148,6531,10845,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
149,6531,11067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
150,6531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
151,6726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
152,6726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
153,6726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
154,6726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
155,6726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
156,6726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
157,8766,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
158,8766,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
159,8766,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
160,8766,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
161,8766,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
162,10845,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
163,10845,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
164,10845,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
165,10845,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
166,11067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
167,11067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
168,11067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
169,11333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
170,11333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
171,11902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
